,Pos
1339,680.1473
1340,680.64655
1341,681.15735
1342,681.6682
1343,682.179
1344,682.6783
1345,683.1891
1346,683.69995
1347,684.21075
1348,684.71
1349,685.2208
1350,685.7317
1351,686.2309
1352,686.74176
1353,687.2526
1354,687.75183
1355,688.26263
1356,688.7735
1357,689.28436
1358,689.78357
1359,690.29443
1360,690.80524
1361,691.3161
1362,691.8153
1363,692.3262
1364,692.837
1365,693.34784
1366,693.84705
1367,694.3579
1368,694.8687
1369,695.3796
1370,695.8788
1371,696.38965
1372,696.88885
1373,697.3997
1374,697.9106
1375,698.4214
1376,698.9206
1377,699.43146
1378,699.9423
1379,700.4531
1380,700.9524
1381,701.4632
1382,701.97406
1383,702.47327
1384,702.98413
1385,703.49493
1386,704.0058
1387,704.5166
1388,705.01587
1389,705.5267
1390,706.02594
1391,706.53674
1392,707.0476
1393,707.5585
1394,708.0577
1395,708.56854
1396,709.07935
1397,709.5902
1398,710.0894
1399,710.6003
1400,711.0995
1401,711.5987
1402,711.99347
1403,712.3766
1404,712.7597
1405,713.1312
1406,713.50275
1407,713.87427
1408,714.2574
1409,714.6405
1410,715.0237
1411,715.4184
1412,715.8015
1413,716.1963
1414,716.591
1415,716.9857
1416,717.3805
1417,717.7752
1418,718.17
1419,718.5763
1420,718.98267
1421,719.38904
1422,719.79535
1423,720.1901
1424,720.58484
1425,721.0028
1426,721.4091
1427,721.8155
1428,722.22186
1429,722.6514
1430,723.0694
1431,723.4873
1432,723.9053
1433,724.32324
1434,724.7412
1435,725.1592
1436,725.57715
